Price,Adj Close,Close,High,Low,Open,Volume,Daily_Return,Cumulative_Return,Rolling_17d_Return
Ticker,SPY,SPY,SPY,SPY,SPY,SPY,,,
Date,,,,,,,,,
11/14/00,88.55228424,139.125,139.625,137,137.46875,7668900,0.026279279,-0.036299738,-0.005584265
11/15/00,88.83078003,139.5625,140.109375,137.75,139.0625,8837700,0.003144987,-0.033268914,-0.006893439
11/16/00,87.43848419,137.375,139.875,137.3125,138.578125,6684100,-0.015673574,-0.048421045,-0.015894092
11/17/00,86.97103119,136.640625,139,135.75,137.3125,6551100,-0.005346079,-0.053508261,0.002407385
11/20/00,85.72786713,134.6875,136.375,134.3125,135.75,5458500,-0.014294002,-0.067037415,-0.014631722
11/21/00,86.16547394,135.375,136.1875,133.515625,134.875,7684300,0.005104604,-0.062275011,-0.028045913
11/22/00,84.10679626,132.140625,134.875,132.125,134.34375,5736900,-0.023892141,-0.084679269,-0.059706431
11/24/00,85.82730865,134.84375,134.96875,133.625,133.625,3411600,0.020456283,-0.065955209,-0.056727379
11/27/00,86.58317566,136.03125,136.6875,135.3125,136.46875,5992000,0.008806836,-0.05772923,-0.045185188
11/28/00,85.09138489,133.6875,136.59375,133.640625,135.125,5336100,-0.017229569,-0.073964149,-0.063177076
11/29/00,84.93222809,133.4375,135.90625,133.265625,134.375,6914100,-0.001870422,-0.075696227,-0.065440992
11/30/00,84.19629669,132.28125,133.5,129.75,132.5,11201600,-0.008664925,-0.08370525,-0.079982453
12/1/00,84.15655518,132.21875,134.0625,131,133.1875,7587200,-0.00047201,-0.084137751,-0.080217268
12/4/00,84.87258148,133.34375,133.875,131.5,131.875,6996600,0.008508265,-0.076345351,-0.051356243
12/5/00,87.65725708,137.71875,138.25,134.40625,134.875,8883400,0.032810073,-0.046040175,-0.016514079
12/6/00,86.25495911,135.515625,138.34375,135.03125,137.78125,12888000,-0.015997511,-0.061301158,-0.008119906
12/7/00,85.07150269,133.65625,135.875,133.65625,134.875,6529100,-0.013720445,-0.074180524,-0.014061341
12/8/00,85.27040863,133.96875,139.46875,133.875,137.0625,10276300,0.002338103,-0.072015863,-0.037061445
12/11/00,88.23406219,138.625,139.5625,136.71875,137.375,6405600,0.034755944,-0.039762898,-0.006717467
12/12/00,87.85617828,138.03125,138.8125,137.375,138.1875,5022900,-0.004282744,-0.043875348,0.004777005
12/13/00,86.65279388,136.140625,139.40625,136.03125,139.25,6070500,-0.013697209,-0.056971586,-0.003659118
12/14/00,85.54885101,134.40625,136.5,134.03125,135.875,7678400,-0.012739842,-0.068985619,-0.00208819
12/15/00,83.61657715,130.96875,133.125,130.5625,133.125,9065300,-0.022586789,-0.090014245,-0.029581417
12/18/00,84.73386383,132.71875,133.46875,131.765625,132.0625,7235400,0.013362024,-0.077854993,0.007455611
12/19/00,83.00805664,130.015625,134.96875,130.015625,132.46875,9616600,-0.020367385,-0.096636675,-0.03284796
12/20/00,80.60392761,126.25,128.9375,126.09375,128.625,9994300,-0.028962599,-0.122800425,-0.069057851
12/21/00,81.16256714,127.125,128.859375,125.53125,126,14331500,0.006930674,-0.116720841,-0.046171745
12/22/00,83.59667969,130.9375,131.109375,128.84375,129,10182900,0.029990581,-0.090230785,-0.015724872
12/26/00,84.49445343,132.34375,132.34375,130.28125,130.84375,4665300,0.010739347,-0.080460458,0.00354121
12/27/00,85.11295319,133.3125,133.734375,131.25,131.75,4854100,0.007320004,-0.073729425,0.01136451
12/28/00,85.3723526,133.71875,133.875,132.59375,132.8125,8358700,0.003047708,-0.070906423,0.005888487
12/29/00,83.75626373,131.1875,134.28125,131.1875,134.0625,8774600,-0.018929886,-0.088494058,-0.0445028
1/2/01,82.23995972,128.8125,132.15625,127.5625,132,8737500,-0.018103769,-0.104995751,-0.046548041
1/3/01,86.19034576,135,136,127.65625,128.3125,19431600,0.048034873,-0.062004335,0.013151796
1/4/01,85.26261902,133.546875,135.46875,133,134.9375,9219000,-0.010763697,-0.072100636,-9.14E-05
1/5/01,82.47937775,129.1875,133.625,129.1875,133.46875,12911400,-0.032643159,-0.102390203,-0.065220668
1/8/01,83.11784363,130.1875,130.1875,127.6875,129.875,6625300,0.007740915,-0.095441881,-0.053932856
1/9/01,82.89832306,129.84375,131.5,129.421875,131.046875,5702400,-0.002641076,-0.097830888,-0.043327753
1/10/01,84.35482025,132.125,132.125,128.8125,129,8746100,0.017569682,-0.081980064,-0.013957297
1/11/01,84.43457794,132.25,133.484375,131.09375,131.09375,7245100,0.000945502,-0.081112074,0.009782759
1/12/01,84.27498627,132,133.71875,131.28125,132.6875,7244000,-0.001890122,-0.082848884,-0.005415516
1/16/01,84.81365967,132.84375,133.1875,131.515625,132,8542200,0.006391854,-0.076986588,0.021752142
1/17/01,85.20272064,133.453125,135.046875,132.640625,134.84375,7851400,0.004587244,-0.0727525,0.057054205
1/18/01,86.05068207,134.78125,135.703125,132.9375,133.4375,8107000,0.009952281,-0.063524272,0.060226224
1/19/01,85.56185913,134.015625,136.1875,133.875,136.1875,7782500,-0.00568064,-0.068844054,0.023507865
1/22/01,86.13047791,134.90625,135.78125,133.5625,134.25,7050900,0.006645704,-0.062655867,0.019362507
1/23/01,86.808815,135.96875,136.65625,134.15625,134.46875,8463100,0.007875692,-0.055273634,0.019924838
1/24/01,87.06822968,136.375,137.3125,135.84375,136.25,6199900,0.002988345,-0.052450465,0.019864476
1/25/01,86.84874725,136.03125,137.25,135.65625,136.25,10818300,-0.00252081,-0.054839057,0.036922415
1/26/01,86.74897003,135.875,136.125,134.453125,135.15625,7136800,-0.001148862,-0.055924917,0.054827487
1/29/01,87.21185303,136.6000061,136.8999939,135.3699951,135.5,6705900,0.00533589,-0.050887436,0.01185176
1/30/01,87.97796631,137.8000031,137.9199982,135.7899933,136.3000031,7069100,0.008784509,-0.042549948,0.031846867
1/31/01,87.48001099,137.0200043,138.6999969,136.6000061,137.3999939,9706900,-0.00566,-0.047969116,0.060628891
2/1/01,88.06099701,137.9299927,137.9499969,136.25,137.1000061,8239100,0.006641357,-0.041646338,0.059471627
2/2/01,86.06265259,134.8000031,137.9900055,134.75,137.3999939,8276600,-0.02269273,-0.063393999,0.038171213
2/5/01,86.69471741,135.7899933,135.9400024,134.75,134.8000031,4352900,0.007344241,-0.056515339,0.027738749
2/6/01,86.43929291,135.3899994,136.6999969,135.2200012,135.3000031,7106700,-0.002946252,-0.059295083,0.02374282
2/7/01,85.99240875,134.6900024,135.3999939,133.6799927,134.7200012,5748700,-0.005169919,-0.064158451,0.020378793
2/8/01,84.9900589,133.1199951,135.3999939,133.1000061,134.8000031,5943300,-0.01165626,-0.075066864,0.002079845
2/9/01,84.17286682,131.8399963,133.3500061,131.2599945,133.3500061,9913000,-0.009615149,-0.083960234,-0.0120871
